RPL19A	sce:YBR084C-A
PHO89	sce:YBR296C
CSM2	sce:YIL132C
TEM1	sce:YML064C
NA	sce:YDL176W
NA	sce:YGL114W
SOP4	sce:YJL192C
GPA1	sce:YHR005C
SPO19	sce:YPL130W
YAE1	sce:YJR067C
ABP1	sce:YCR088W
SHE9	sce:YDR393W
CBP3	sce:YPL215W
SCW4	sce:YGR279C
EFB1	sce:YAL003W
NA	sce:YOR161C-C
NSE5	sce:YML023C
CDC37	sce:YDR168W
DSD1	sce:YGL196W
CDC26	sce:YFR036W
AVT5	sce:YBL089W
NDT80	sce:YHR124W
NA	sce:YGL036W
LCB3	sce:YJL134W
COX20	sce:YDR231C
BZZ1	sce:YHR114W
SPT5	sce:YML010W
CUP1-1	sce:YHR053C
VPS73	sce:YGL104C
ALD3	sce:YMR169C
NA	sce:YMR226C
SDH5	sce:YOL071W
NA	sce:YDL012C
EBS1	sce:YDR206W
CTF8	sce:YHR191C
SCD5	sce:YOR329C
PLB3	sce:YOL011W
SNF8	sce:YPL002C
BCK2	sce:YER167W
MST1	sce:YKL194C
RPS18A	sce:YDR450W
NA	sce:YNR062C
OPI1	sce:YHL020C
HST3	sce:YOR025W
TOS3	sce:YGL179C
FMP32	sce:YFL046W
GUT1	sce:YHL032C
TGL1	sce:YKL140W
HHO1	sce:YPL127C
TRP3	sce:YKL211C
MAK5	sce:YBR142W
PCA1	sce:YBR295W
CRF1	sce:YDR223W
MDH1	sce:YKL085W
RPL15A	sce:YLR029C
HTL1	sce:YCR020W-B
RRN7	sce:YJL025W
CSM3	sce:YMR048W
MRPL15	sce:YLR312W-A
RPM2	sce:YML091C
ECM38	sce:YLR299W
ECM16	sce:YMR128W
NCA2	sce:YPR155C
VPS34	sce:YLR240W
NA	sce:YOR338W
RPL34B	sce:YIL052C
RKM5	sce:YLR137W
ELO1	sce:YJL196C
NSG1	sce:YHR133C
SYC1	sce:YOR179C
RRB1	sce:YMR131C
POR1	sce:YNL055C
MCM22	sce:YJR135C
MET18	sce:YIL128W
ATG14	sce:YBR128C
CDC50	sce:YCR094W
TUB4	sce:YLR212C
KIN28	sce:YDL108W
DAN4	sce:YJR151C
CUE5	sce:YOR042W
RTG2	sce:YGL252C
YPT6	sce:YLR262C
THI13	sce:YDL244W
RAD55	sce:YDR076W
COF1	sce:YLL050C
RPL5	sce:YPL131W
FMP42	sce:YMR221C
HPC2	sce:YBR215W
SHG1	sce:YBR258C
RPL22B	sce:YFL034C-A
BET3	sce:YKR068C
BTT1	sce:YDR252W
ISA1	sce:YLL027W
DOA4	sce:YDR069C
MIS1	sce:YBR084W
RMA1	sce:YKL132C
RPB11	sce:YOL005C
ACO2	sce:YJL200C
SRP40	sce:YKR092C
UTH1	sce:YKR042W
RIT1	sce:YMR283C
IML2	sce:YJL082W
SFA1	sce:YDL168W
GCN1	sce:YGL195W
CTT1	sce:YGR088W
GID8	sce:YMR135C
NDE2	sce:YDL085W
PHO13	sce:YDL236W
EXG1	sce:YLR300W
RBK1	sce:YCR036W
GDB1	sce:YPR184W
INM1	sce:YHR046C
CLB1	sce:YGR108W
ATP4	sce:YPL078C
RXT2	sce:YBR095C
STE50	sce:YCL032W
APL2	sce:YKL135C
ECM8	sce:YBR076W
HBT1	sce:YDL223C
DSE4	sce:YNR067C
PRP16	sce:YKR086W
PCH2	sce:YBR186W
SRB5	sce:YGR104C
SEO1	sce:YAL067C
CIS1	sce:YLR346C
EMI2	sce:YDR516C
NA	sce:YDR239C
FAF1	sce:YIL019W
MGR3	sce:YMR115W
PAR32	sce:YDL173W
RIB2	sce:YOL066C
PDI1	sce:YCL043C
ZNF1	sce:YFL052W
VMA8	sce:YEL051W
NA	sce:YOR011W-A
RIA1	sce:YNL163C
PMC1	sce:YGL006W
NCS6	sce:YGL211W
PSA1	sce:YDL055C
PEP1	sce:YBL017C
PGC1	sce:YPL206C
EEB1	sce:YPL095C
MRPL37	sce:YBR268W
GUP1	sce:YGL084C
MSH2	sce:YOL090W
SHE10	sce:YGL228W
FRE6	sce:YLL051C
EMC6	sce:YLL014W
NMD3	sce:YHR170W
TUB3	sce:YML124C
RRP3	sce:YHR065C
NA	sce:YOR062C
PUP1	sce:YOR157C
NA	sce:YOL036W
NA	sce:YPL067C
FKS3	sce:YMR306W
CTR9	sce:YOL145C
SDD3	sce:YOL098C
COS9	sce:YKL219W
PBP1	sce:YGR178C
DIS3	sce:YOL021C
IPP1	sce:YBR011C
HIR3	sce:YJR140C
THI4	sce:YGR144W
PLB1	sce:YMR008C
SNO4	sce:YMR322C
BMT2	sce:YBR141C
MRS3	sce:YJL133W
NA	sce:YNR061C
PET100	sce:YDR079W
GUK1	sce:YDR454C
FAA3	sce:YIL009W
FUM1	sce:YPL262W
NA	sce:YIL166C
IRC5	sce:YFR038W
HEL2	sce:YDR266C
NA	sce:YLR001C
NA	sce:YER186C
PGA3	sce:YML125C
RPT6	sce:YGL048C
YPK3	sce:YBR028C
ORC6	sce:YHR118C
SLX9	sce:YGR081C
ANR2	sce:YKL047W
RPL14B	sce:YHL001W
DOT1	sce:YDR440W
SEC21	sce:YNL287W
TFB3	sce:YDR460W
SPH1	sce:YLR313C
LCB2	sce:YDR062W
GAC1	sce:YOR178C
TPH3	sce:YJL016W
RFM1	sce:YOR279C
NA	sce:YJL218W
NA	sce:YDL218W
ENV11	sce:YGR071C
HAP1	sce:YLR256W
SIW14	sce:YNL032W
AIM25	sce:YJR100C
SWI4	sce:YER111C
MRX3	sce:YBL095W
RPS5	sce:YJR123W
NA	sce:YML083C
TCB3	sce:YML072C
PAU9	sce:YBL108C-A
URA3	sce:YEL021W
GAS2	sce:YLR343W
QCR9	sce:YGR183C
DBP8	sce:YHR169W
SSL2	sce:YIL143C
YAF9	sce:YNL107W
CAC2	sce:YML102W
RPS25A	sce:YGR027C
CRP1	sce:YHR146W
BCP1	sce:YDR361C
EPS1	sce:YIL005W
PAU24	sce:YBR301W
NA	sce:YHR097C
HXK2	sce:YGL253W
FEX1	sce:YOR390W
RAD2	sce:YGR258C
SSB1	sce:YDL229W
HEM25	sce:YDL119C
PRM10	sce:YJL108C
REC104	sce:YHR157W
NA	sce:YJL193W
CLB3	sce:YDL155W
NA	sce:YHR007C-A
MAG1	sce:YER142C
SGS1	sce:YMR190C
YTM1	sce:YOR272W
CPR2	sce:YHR057C
SSA4	sce:YER103W
STP2	sce:YHR006W
YVH1	sce:YIR026C
MRP21	sce:YBL090W
MAS2	sce:YHR024C
TOM6	sce:YOR045W
NPR2	sce:YEL062W
RIM20	sce:YOR275C
RRN3	sce:YKL125W
APL5	sce:YPL195W
TAF12	sce:YDR145W
CBF2	sce:YGR140W
CDC8	sce:YJR057W
ESL1	sce:YIL151C
NA	sce:YPL216W
BRR2	sce:YER172C
NA	sce:YGR204C-A
KTI12	sce:YKL110C
VBA1	sce:YMR088C
MPS1	sce:YDL028C
SWT1	sce:YOR166C
NCE101	sce:YJL205C
IES3	sce:YLR052W
BUD17	sce:YNR027W
NA	sce:YNL011C
LDB18	sce:YLL049W
ATP2	sce:YJR121W
FDC1	sce:YDR539W
EMC2	sce:YJR088C
EMW1	sce:YNL313C
RPL17A	sce:YKL180W
PHO2	sce:YDL106C
SET6	sce:YPL165C
PRR1	sce:YKL116C
ATM1	sce:YMR301C
ATP23	sce:YNR020C
EMP65	sce:YER140W
RPC34	sce:YNR003C
MNL1	sce:YHR204W
LYS1	sce:YIR034C
APM1	sce:YPL259C
ANP1	sce:YEL036C
RPL37A	sce:YLR185W
THI2	sce:YBR240C
PRP4	sce:YPR178W
PET111	sce:YMR257C
ERP4	sce:YOR016C
YIH1	sce:YCR059C
UTP14	sce:YML093W
RPS9A	sce:YPL081W
CNM67	sce:YNL225C
RTC3	sce:YHR087W
SUL1	sce:YBR294W
PST1	sce:YDR055W
YEN1	sce:YER041W
RRF1	sce:YHR038W
PNT1	sce:YOR266W
CRT10	sce:YOL063C
ALG12	sce:YNR030W
TPO1	sce:YLL028W
MET10	sce:YFR030W
TIM10	sce:YHR005C-A
RPN11	sce:YFR004W
PFA5	sce:YDR459C
FUB1	sce:YCR076C
APL4	sce:YPR029C
NA	sce:YMR087W
MPE1	sce:YKL059C
TEF4	sce:YKL081W
NA	sce:YLL058W
SEC8	sce:YPR055W
SNZ3	sce:YFL059W
SWP1	sce:YMR149W
TIM23	sce:YNR017W
NA	sce:YCR007C
SWI5	sce:YDR146C
ARG3	sce:YJL088W
GIT1	sce:YCR098C
MCM21	sce:YDR318W
DOG2	sce:YHR043C
TAH18	sce:YPR048W
ADP1	sce:YCR011C
NA	sce:YFR035C
VTA1	sce:YLR181C
PMT3	sce:YOR321W
CAF16	sce:YFL028C
PXA2	sce:YKL188C
AIM3	sce:YBR108W
MF(ALPHA)2	sce:YGL089C
SPE3	sce:YPR069C
NA	sce:YDR415C
GDS1	sce:YOR355W
PRP28	sce:YDR243C
NA	sce:YOR302W
SSK22	sce:YCR073C
SEN2	sce:YLR105C
NA	sce:YDR262W
ZEO1	sce:YOL109W
RCK2	sce:YLR248W
APA2	sce:YDR530C
RRT2	sce:YBR246W
TRM2	sce:YKR056W
NA	sce:YER137C
NA	sce:YGR210C
NA	sce:YML007C-A
RPL24A	sce:YGL031C
QCR8	sce:YJL166W
PEX6	sce:YNL329C
PRP22	sce:YER013W
ARF3	sce:YOR094W
PDR1	sce:YGL013C
BIT2	sce:YBR270C
MSB4	sce:YOL112W
OSH7	sce:YHR001W
TFA2	sce:YKR062W
SWC3	sce:YAL011W
ERV41	sce:YML067C
NA	sce:YPR015C
LYS12	sce:YIL094C
BNR1	sce:YIL159W
EXO70	sce:YJL085W
NA	sce:YEL076C
CDC21	sce:YOR074C
RPS8A	sce:YBL072C
RRT5	sce:YFR032C
FAU1	sce:YER183C
NA	sce:YKL069W
SPC34	sce:YKR037C
ARG5,6	sce:YER069W
NTH1	sce:YDR001C
HMS1	sce:YOR032C
COS10	sce:YNR075W
MSY1	sce:YPL097W
CDC23	sce:YHR166C
MRF1	sce:YGL143C
VPS45	sce:YGL095C
GAP1	sce:YKR039W
MCK1	sce:YNL307C
CAT8	sce:YMR280C
RPA34	sce:YJL148W
COA4	sce:YLR218C
KEL1	sce:YHR158C
GLN3	sce:YER040W
CPR7	sce:YJR032W
RPL19B	sce:YBL027W
RPS8B	sce:YER102W
RPS26A	sce:YGL189C
FYV5	sce:YCL058C
SUC2	sce:YIL162W
GCD14	sce:YJL125C
DMA2	sce:YNL116W
EST1	sce:YLR233C
TRK2	sce:YKR050W
SRL4	sce:YPL033C
TRM3	sce:YDL112W
PAU4	sce:YLR461W
NA	sce:YPL034W
QRI1	sce:YDL103C
NA	sce:YHL018W
RMD8	sce:YFR048W
OPI10	sce:YOL032W
MET17	sce:YLR303W
LSB6	sce:YJL100W
TAF2	sce:YCR042C
ERG26	sce:YGL001C
