inst#gene#sce00520#sce:YLR446W	same gene	inst#gene#sce00010#sce:YLR446W
inst#gene#sce00410#sce:YGR019W	compound	inst#gene#sce00410#sce:YMR250W
inst#gene#sce00010#sce:YAL038W	same gene	inst#gene#sce00230#sce:YAL038W
inst#gene#sce00230#sce:YAL038W	compound	inst#gene#sce00230#sce:YOR340C
inst#gene#sce00520#sce:YKL104C	compound	inst#gene#sce00520#sce:YBR196C
inst#gene#sce00040#sce:YJL121C	compound	inst#gene#sce00040#sce:YGR194C
inst#gene#sce00230#sce:YAL038W	compound	inst#gene#sce00230#sce:YNL151C
inst#gene#sce00010#sce:YER178W	compound	inst#gene#sce00010#sce:YGR087C
inst#gene#sce00250#sce:YKL106W	same gene	inst#gene#sce00220#sce:YKL106W
inst#gene#sce00220#sce:YKL106W	compound	inst#gene#sce00220#sce:YMR062C
inst#gene#sce04011#sce:YMR037C	expression	inst#gene#sce04011#sce:YGR088W
inst#gene#sce04011#sce:YJL128C	activation#phosphorylation	inst#gene#sce04011#sce:YLR113W
inst#gene#sce00230#sce:YAL038W	compound	inst#gene#sce00230#sce:YDR226W
inst#gene#sce00620#sce:YML004C	compound	inst#gene#sce00620#sce:YOR040W
inst#gene#sce00052#sce:YKL035W	same gene	inst#gene#sce00500#sce:YKL035W
inst#gene#sce04011#sce:YOL151W	same gene	inst#gene#sce00620#sce:YOL151W
inst#gene#sce00230#sce:YDR454C	compound	inst#gene#sce00230#sce:YDR399W
inst#gene#sce00052#sce:YLR446W	compound	inst#gene#sce00052#sce:YMR105C
inst#gene#sce00330#sce:YPL111W	compound	inst#gene#sce00330#sce:YLR438W
inst#gene#sce04011#sce:YNL167C	inhibition#expression	inst#gene#sce04011#sce:YOL151W
inst#gene#sce00620#sce:YOR040W	compound	inst#gene#sce00620#sce:YEL071W
inst#gene#sce04011#sce:YLR113W	activation#phosphorylation	inst#gene#sce04011#sce:YMR037C
