Gene Symbol	hsa:ENTREZ_GENE_ID
DNAJB7	hsa:150353
UCN3	hsa:114131
DIP2A	hsa:23181
USP28	hsa:57646
CASC5	hsa:57082
SENP8	hsa:123228
GRHL1	hsa:29841
CNBD2	hsa:140894
CASKIN1	hsa:57524
CACNA2D4	hsa:93589
ARL11	hsa:115761
SLC2A13	hsa:114134
NIPA1	hsa:123606
TUBA3FP	hsa:113691
CARD16	hsa:114769
CARD16	hsa:834
DUSP19	hsa:142679
CYB5D1	hsa:124637
NMNAT2	hsa:23057
SLC4A1	hsa:6521
CREG2	hsa:200407
RXFP1	hsa:59350
SPEF2	hsa:79925
CEP170	hsa:9859
DTD1	hsa:92675
CASC4	hsa:113201
FGF1	hsa:2246
ARPP21	hsa:10777
RHOXF1	hsa:158800
ADAMTS17	hsa:170691
SNHG7	hsa:84973
DHH	hsa:50846
ABRA	hsa:137735
KLHDC1	hsa:122773
RICTOR	hsa:253260
PCDHGA4	hsa:56111
NETO1	hsa:81832
WWP2	hsa:11060
ST7L	hsa:54879
C2orf15	hsa:150590
KCNH8	hsa:131096
MCF2L	hsa:23263
SLCO6A1	hsa:133482
PP2D1	hsa:151649
KLC3	hsa:147700
CIB3	hsa:117286
CADM2	hsa:253559
C9orf66	hsa:157983
HDAC9	hsa:9734
SLC16A11	hsa:162515
TMEM67	hsa:91147
HS6ST2	hsa:90161
CAMKK1	hsa:84254
ZNF625	hsa:90589
ZNF563	hsa:147837
LIN9	hsa:286826
CLEC4D	hsa:338339
SLC25A27	hsa:9481
GPRC6A	hsa:222545
RAET1E	hsa:135250
SLC44A5	hsa:204962
ZNF417	hsa:147687
ZNF781	hsa:163115
HELB	hsa:92797
SEC62	hsa:7095
TRDN	hsa:10345
SOCS4	hsa:122809
C8orf31	hsa:286122
ZNF547	hsa:284306
SIM1	hsa:6492
PROM2	hsa:150696
TLR4	hsa:7099
TSNARE1	hsa:203062
CAPN13	hsa:92291
STMN1	hsa:3925
SIGLEC10	hsa:89790
RFX4	hsa:5992
WFIKKN1	hsa:117166
SENP1	hsa:29843
KLF14	hsa:136259
NXNL2	hsa:158046
BRS3	hsa:680
LINC00205	hsa:257103
TMX3	hsa:54495
ZNF396	hsa:252884
SLC26A7	hsa:115111
SNX18	hsa:112574
FBXO39	hsa:162517
B3GNT6	hsa:192134
DENND1B	hsa:163486
ZNF619	hsa:285267
ICK	hsa:22858
FAM71D	hsa:161142
BCL2L14	hsa:79370
HS6ST3	hsa:266722
SLC26A1	hsa:10861
CLDN15	hsa:24146
RAB42	hsa:115273
PTCHD1	hsa:139411
M1AP	hsa:130951
ZSCAN4	hsa:201516
VWA5B1	hsa:127731
LINC00311	hsa:197196
HTR6	hsa:3362
MAGEB6	hsa:158809
LOC101060464	hsa:162699
RUSC1-AS1	hsa:284618
CACNG6	hsa:59285
LMNTD1	hsa:160492
CIRBP-AS1	hsa:148046
AXDND1	hsa:126859
ASMTL-AS1	hsa:80161
CD200R1	hsa:131450
LINC00334	hsa:114042
ATOH7	hsa:220202
SEC16B	hsa:89866
AMER1	hsa:139285
NKX6-3	hsa:157848
TBATA	hsa:219793
EXOC3L2	hsa:90332
