abst#sce:YGL018C	36.817	19.685	37.795	32.143	12.041	33.832	29.192	9.512	25.375	6.739	27.222	39.327	12.695	16.278	36.92	28.187	60.884	54.077	19.058	18.217	58.034
abst#sce:YNL129W	53.596	27.282	96.639	45.64	20.792	77.639	32.547	18.937	47.857	15.115	45.789	73.853	14.519	11.097	60.989	23.615	53.35	88.702	25.912	18.866	86.037
abst#sce:YDR281C	119.251	44.494	103.336	83.592	32.571	80.957	40.098	25.156	41.993	20.035	32.84	24.238	9.65	8.135	24.429	10.688	28.917	70.106	25.799	19.996	61.418
abst#sce:YDR408C	94.071	62.702	106.209	93.229	54.682	180.949	70.236	51.501	173.425	47.193	196.249	150.218	52.102	61.084	111.541	61.585	145.207	126.67	51.502	70.767	129.517
abst#sce:YDR411C	876.675	370.673	935.916	776.41	323.238	903.493	619.901	311.853	800.082	287.176	742.37	1264.111	276.526	310.528	1094.789	614.066	854.72	1303.462	622.096	356.916	1411.58
abst#sce:YDR348C	263.617	153.811	418.105	254.806	112.077	399.84	193.687	104.507	286.942	67.598	267.865	470.98	55.222	89.342	373.65	171.487	335.315	448.676	145.16	120.559	541.295
abst#sce:YNL161W	704.132	497.964	1449.924	814.338	379.362	1299.826	683.095	336.326	832.414	191.47	707.88	1893.865	125.498	423.753	1602.818	582.804	1835.893	1791.097	515.473	388.012	2500.306
abst#sce:YHR158C	139.718	70.834	138.166	129.549	50.037	92.497	79.235	25.799	163.442	17.629	157.284	212.975	34.89	51.723	149.88	119.479	183.53	178.726	89.269	59.355	193.968
abst#sce:YCR051W	34.192	24.237	31.395	40.322	17.451	49.378	38.991	27.136	55.316	38.319	59.952	197.783	46.82	64.606	230.434	81.46	346.667	307.221	105.312	119.735	431.438
abst#sce:YCR015C	24.779	16.988	23.834	30.3	8.898	21.434	15.381	8.367	18.493	9.014	18.533	27.143	6.441	5.931	15.24	7.709	13.4	42.154	16.206	16.862	47.553
abst#sce:YER014W	11.416	18.174	79.967	36.503	18.137	76.434	25.268	17.343	47.265	10.385	62.906	76.958	10.794	7.796	63.676	13.926	37.764	19.511	12.914	2.683	92.733
abst#sce:YJL072C	36.341	25.287	80.664	35.202	17.155	75.116	25.516	15.964	57.522	11.899	33.009	57.849	13.969	8.859	36.347	10.939	49.002	45.983	11.715	11.054	59.476
abst#sce:YKL162C-A	41.678	12.494	75.84	31.381	12.842	50.964	31.616	9.342	44.177	18.271	38.412	62.569	16.262	10.626	46.672	17.999	21.651	41.093	16.629	10.764	41.653
abst#sce:YLR167W	1338.781	484.825	2165.355	1414.242	518.307	2312.445	1101.611	508.834	2023.915	723.962	1639.019	2363.946	669.755	427.875	1696.817	772.531	1373.94	2061.673	969.043	534.082	1679.848
abst#sce:YLR212C	183.929	93.313	267.038	199.777	71.204	275.17	174.923	80.761	276.445	54.491	294.835	356.717	66.638	76.119	246.625	129.772	258.96	275.73	114.153	75.563	300.411
abst#sce:YKR019C	271.353	137.476	294.019	296.957	98.936	304.819	186.773	92.865	252.716	88.442	253.459	376.992	76.832	103.27	300.298	174.09	320.778	362.534	201.732	119.405	493.204
abst#sce:YGL015C	3.703	6.984	0.473	0	1.012	0	0	0	2.753	0	0	0	0.755	0.174	0	0	0	0	0	0	0
abst#sce:YNL110C	245.086	125.922	234.92	327.902	103.216	323.751	162.075	98.097	252.128	108.731	300.401	186.045	56.427	54.324	115.512	57.347	131.774	78.171	34.539	23.056	42.245
abst#sce:YDR453C	57.297	30.965	78.126	66.691	24.489	71.26	44.823	23.733	66.392	23.767	46.776	108.693	28.53	25.463	77.579	53.501	68.938	117.583	57.454	35.25	300.23
abst#sce:YDR414C	425.755	160.662	372.374	388.705	135.476	394.6	279.821	140.508	368.791	120.327	365.844	532.268	98.837	116.845	424.049	253.342	342.383	519.032	237.743	159.517	522.386
abst#sce:YDR371W	53.787	26.217	48.589	49.187	20.687	52.877	32.669	19.227	37.526	14.798	37.734	69.993	11.757	19.037	47.92	33.684	47.651	61.748	32.036	28.319	71.101
abst#sce:YNL144C	45.325	36.325	70.306	54.893	23.698	70.553	47.589	40.856	63.994	67.332	80.917	175.582	28.234	56.821	163.603	73.967	195.482	143.525	60.827	38.813	95.449
abst#sce:YJL092W	96.556	64.258	109.263	148.769	48.691	92.118	76.585	27.48	100.245	21.106	71.493	172.613	33.156	56.297	145.019	86.704	181.037	176.817	74.694	48.871	250.786
abst#sce:YML003W	14.53	9.28	16.736	18.834	4.676	15.195	10.269	5.847	17.005	7.136	23.238	28.592	4.76	4.62	40.138	13.364	37.195	85.135	35.838	33.538	101.436
abst#sce:YCR073W-A	17.731	13.393	37.329	33.305	10.54	52.198	26.031	14.014	61.914	37.452	89.396	55.364	32.44	16.166	48.243	32.231	62.448	68.463	38.453	25.778	122.866
abst#sce:YER021W	337.636	149.103	856.587	568.866	130.305	822.91	395.659	127.246	691.048	177.495	385.922	1100.638	172.432	186.669	960.997	576.005	533.622	1194.477	568.724	178.128	1975.697
abst#sce:YJL066C	54.811	35.555	124.048	74.756	26.48	108.186	74.864	34.684	121.479	28.537	88.552	203.91	36.32	39.211	207.108	100.519	221.594	279.372	131.775	101.273	573.984
abst#sce:YMR201C	888.204	283.047	584.401	759.57	223.078	580.469	549.532	244.963	579.455	816.477	588.2	954.414	628.946	222.816	829.28	587.044	860.814	1075.753	717.116	374.912	1219.905
abst#sce:YLR171W	131.428	75.002	184.712	151.774	55.843	156.088	111.101	61.073	132.116	34.414	243.34	223.473	29.034	54.627	160.527	89.364	224.489	216.639	89.369	72.654	319.897
abst#sce:YLR213C	46.789	22.024	55.078	61.431	17.056	59.808	41.622	15.933	60.304	22.406	30.08	63.153	21.645	14.973	42.262	33.145	47.771	57.858	27.01	14.25	86.728
abst#sce:YKR036C	265.819	127.019	285.994	296.18	115.535	331.091	188.344	107.39	264.281	173.757	362.746	276.481	133.281	77.821	236.548	136.709	291.27	274.044	150.696	112.568	327.957
