abst#sce:YKR009C	0.3	0.166666667	0	0.202088854	0.432831317	0	0.7	0.766666667	1	0.797001044	1	0.169261917
abst#sce:YDL157C	0.442857143	0.285714286	1	1	0.666566581	0.764347981	0	0.271428571	0.5	0.269848288	0	0.359727327
abst#sce:YER059W	0.68	1	0.44	0.175713755	0.531798394	0.825889241	0.36	0.8	0	0.582790564	1	0
abst#sce:YGL059W	0.489361702	0.191489362	0	0.53284781	0.42314679	0	0.680851064	1	0.893617021	1	0.339750683	0.522945137
abst#sce:YDR481C	1	0.878787879	0.282828283	0.024382378	0.298513652	1	0.898989899	0.737373737	0	0.081237733	0	0.558030243
abst#sce:YML113W	0.172413793	0.75862069	0.24137931	0.527348437	0.241272934	1	0.103448276	1	0	0.733814089	0	0.830446422
abst#sce:YIL157C	0.434782609	0.347826087	0.260869565	0.772305168	0.937957221	0	0.130434783	1	0	0.46025723	1	0.316004932
abst#sce:YPR003C	0	0.0625	0.0625	0	0.480235193	0.814431181	1	0.6875	0.75	0.559167006	0.600156656	1
abst#sce:YNR074C	0.68627451	1	1	0.602704315	0.454404096	1	0	0.392156863	0.352941176	0.13811067	0	0.176224743
abst#sce:YLR154C-H	0.763888889	0.939814815	1	1	0.12477037	0.425068609	0.064814815	0	0.101851852	0.828569679	0	0.063111376
abst#sce:YKL012W	0.12244898	0	0.163265306	0.10997493	0	0.13442855	0.673469388	0.918367347	1	1	0.878006194	0.328382245
abst#sce:YJL147C	1	0.3125	0	1	0.052782185	0.658836353	0.9375	0.90625	0.71875	0.864385546	0.038651196	0
abst#sce:YDL216C	0.096153846	0.192307692	0	0.057163244	0.516862369	0	0.519230769	0.557692308	1	0.754225338	1	0.610433347
abst#sce:YNL320W	0.571428571	0.785714286	0.25	0.2812997	0.598966552	0.486621928	1	0.321428571	0	0.519696015	1	0
abst#sce:YHL007C	0.555555556	1	0.888888889	0	0.995593639	1	0.111111111	0.833333333	0	0.567856564	0.989407131	0.005280433
abst#sce:YPL223C	0.342857143	0.471428571	0	0	0.611884047	0.441226927	0.714285714	1	0.8	0.018447343	1	0.244481592
abst#sce:YKL138C	0.5	0.333333333	1	1	0	0.464861841	0.3	0	0.633333333	0.199297548	0.649923849	0.284368881
abst#sce:YNL126W	0.734693878	0.816326531	0.93877551	0.748314152	1	0.894346219	0.632653061	0	1	0.30563299	0.181631162	0
